,,,KEY COVID COMPOUNDING RISKS,,,,,,,,,,,
,,,,,,,,,,,,,,
COUNTRY,ISO3,COVID Risk,Seasonal Risk,Food Insecurity,Conflict ,Fiscal,Economic and Financial,Fragility,NatCat Risk,Institutions,FISCAL,FRAGILITY,Average Risk Score,Count Flags
(a-z),(a-z),,,,,,,,,,,,,
India,IND,6.5,2.2,0.0,7.0,0.0,3.0,4.9,7.7,3.5,2.9,3.4,3.5,2.0
Indonesia,IDN,6.0,0.8,0.0,7.0,0.0,3.7,3.2,7.7,4.3,2.6,2.8,3.3,3.0
Iran,IRN,7.0,0.0,0.0,0.0,0.0,3.0,5.0,6.7,5.6,2.5,2.0,2.5,2.0
Iraq,IRQ,7.1,#N/A,0.0,9.0,0.0,3.0,5.9,5.3,8.1,3.4,4.4,4.5,5.0
Ireland,IRL,5.1,#N/A,0.0,0.0,0.0,3.0,1.3,2.2,2.4,2.7,1.3,1.3,0.0
Israel,ISR,5.4,#N/A,0.0,0.0,0.0,3.3,2.0,4.6,3.3,2.9,1.5,1.9,1.0
Italy,ITA,5.0,#N/A,0.0,0.0,0.0,3.7,2.5,5.2,3.5,2.9,1.5,2.1,2.0
Jamaica,JAM,7.3,6.1,0.0,0.0,0.0,6.0,2.4,5.4,4.1,4.8,2.6,3.0,4.0
Japan,JPN,5.0,#N/A,0.0,0.0,0.0,3.7,1.5,8.1,2.1,2.9,1.3,2.2,2.0
Jordan,JOR,7.0,#N/A,0.0,0.0,0.0,4.7,6.1,4.2,5.6,3.9,2.6,2.9,4.0
Kazakhstan,KAZ,6.2,#N/A,0.0,0.0,0.0,3.3,0.7,4.0,4.8,3.2,1.4,1.8,1.0
Kenya,KEN,7.4,2.8,4.0,0.0,0.0,3.7,6.2,5.1,5.2,3.5,3.4,3.4,5.0
Kiribati,KIR,8.6,#N/A,0.0,0.0,7.0,5.5,4.1,3.8,5.6,7.0,3.9,3.7,3.0
Korea DPR,PRK,5.3,#N/A,0.0,0.0,0.0,0.0,5.5,5.1,8.2,1.8,2.2,2.7,3.0
Korea Republic of,KOR,7.1,#N/A,0.0,0.0,0.0,2.7,1.3,5.9,2.5,3.3,1.7,1.8,2.0
Kuwait,KWT,5.5,#N/A,0.0,0.0,0.0,2.3,1.4,1.5,5.6,2.6,1.4,1.5,1.0
